"UNIT_ID","RK_CODE","UNIT_TYPE","UNIT_NAME"
41703,4170301,"Arsi Negele","Arsi Negele Town"
41703,4170302,"Arsi Negele","Golije  Town"
41711,4171101,"Shashemene Town","Shashemene Town"
41712,4171201,"Shashemene","Kuyera Town"
41703,41703001,"Arsi Negele","Muda Arja"
41703,41703002,"Arsi Negele","Alge"
41703,41703003,"Arsi Negele","Shala Bila"
41703,41703004,"Arsi Negele","Balena Kilo"
41703,41703005,"Arsi Negele","Dega Argemo"
41703,41703006,"Arsi Negele","Dega Hora Kilo"
41703,41703007,"Arsi Negele","Hadi Bossa"
41703,41703008,"Arsi Negele","Kerero"
41703,41703009,"Arsi Negele","Kelo Tulu"
41703,41703010,"Arsi Negele","Sirba Lenda"
41703,41703011,"Arsi Negele","Gerbi Arba"
41703,41703012,"Arsi Negele","Gebta Arjo"
41703,41703013,"Arsi Negele","Rafa Hrgesa"
41703,41703014,"Arsi Negele","Ali Wayo"
41703,41703015,"Arsi Negele","Edo Jagesa"
41703,41703016,"Arsi Negele","Gerbo Derar"
41703,41703017,"Arsi Negele","Meko Oda"
41703,41703018,"Arsi Negele","Chri Elalu"
41703,41703019,"Arsi Negele","Besko Elala"
41703,41703020,"Arsi Negele","Lepeso"
41703,41703021,"Arsi Negele","Gambelto"
41703,41703022,"Arsi Negele","Sayo Menja"
41703,41703023,"Arsi Negele","Kersa Meja"
41703,41703024,"Arsi Negele","Kersa Gera"
41703,41703025,"Arsi Negele","Kersa Elala"
41703,41703026,"Arsi Negele","Terge Galo"
41703,41703027,"Arsi Negele","Danshe"
41703,41703028,"Arsi Negele","Adeba Tita"
41703,41703029,"Arsi Negele","Bombaso Rja"
41703,41703030,"Arsi Negele","Asheka"
41703,41703031,"Arsi Negele","Aga"
41703,41703032,"Arsi Negele","Gude Dura"
41703,41703033,"Arsi Negele","Werro Awelo"
41703,41703034,"Arsi Negele","Gunde Gurate"
41703,41703035,"Arsi Negele","Wetera"
41703,41703036,"Arsi Negele","Tufa"
41703,41703037,"Arsi Negele","Amibagodasideni"
41703,41703038,"Arsi Negele","Semiberorogicha"
41703,41703039,"Arsi Negele","Dawe"
41703,41703040,"Arsi Negele","Bukuwelida"
41703,41703041,"Arsi Negele","Degaga"
41703,41703042,"Arsi Negele","Arigedashalido"
41703,41703043,"Arsi Negele","Shababulitumi"
41712,41712001,"Shashemene","Chulule Habera"
41712,41712002,"Shashemene","Kubi guta"
41712,41712003,"Shashemene","Obenso Jilo"
41712,41712004,"Shashemene","Jelo Dida"
41712,41712005,"Shashemene","Faji Gole"
41712,41712006,"Shashemene","Chefageta"
41712,41712007,"Shashemene","Korerogicha"
41712,41712008,"Shashemene","Fajigeba"
41712,41712009,"Shashemene","Hagugeta Keni"
41712,41712010,"Shashemene","Ilalal Korke"
41712,41712011,"Shashemene","Wetera Shegule"
41712,41712012,"Shashemene","Turre Wetera Elemo"
41712,41712013,"Shashemene","kerara Felicha"
41712,41712014,"Shashemene","Bute Felicha"
41712,41712015,"Shashemene","Ale Luilu"
41712,41712016,"Shashemene","Oine Chefo Unbule"
41712,41712017,"Shashemene","Chebidi Dangata"
41712,41712018,"Shashemene","Bura Borema"
41712,41712019,"Shashemene","Tatesa Dedesa"
41712,41712020,"Shashemene","Kori Borejeta"
41712,41712021,"Shashemene","Daleti Guracha Bishen"
41712,41712022,"Shashemene","Toga Weransa"
41712,41712023,"Shashemene","Meja Dema"
41712,41712024,"Shashemene","Bulchana Deneba"
41712,41712025,"Shashemene","Sheleche Harlate"
41712,41712026,"Shashemene","Shere Borara"
41712,41712027,"Shashemene","Mudeta"
41712,41712028,"Shashemene","Ido Laburka"
41712,41712029,"Shashemene","Owa Shodongu"
41712,41712030,"Shashemene","Jegesa Korke"
41712,41712031,"Shashemene","Meraro"
41712,41712032,"Shashemene","Faji Sole"
41712,41712033,"Shashemene","Abaro"
41712,41712034,"Shashemene","Jengele Wendere"
41712,41712035,"Shashemene","Hursa Sinbo"
41712,41712036,"Shashemene","Danisa"
41712,41712037,"Shashemene","Gonde Kerso"
41712,41712038,"Shashemene","Aredano Shifa"
41712,41712091,"Shashemene","Ethiopia Adventist College"
41712,41712092,"Shashemene","Toga Military Camp"
41712,41712401,"Shashemene","Yeasa Den"
41712,41712402,"Shashemene","Kure Beke Den"
41712,41712403,"Shashemene","Hamele Den"
41712,41712404,"Shashemene","Hansewe Den"
41712,41712405,"Shashemene","Sole Den"
41712,41712406,"Shashemene","Bejetu Den"
41712,41712407,"Shashemene","Baro Den"
41712,41712408,"Shashemene","Alamudin Gtosh Meret (Elfora)"
41712,41712409,"Shashemene","Shalo Mrt Drjit"
