id,name,parent
1,Barguna,
2,Satkhira,
3,Agardari Union,Satkhira
4,Amtali Paurashava,Barguna
5,Ayla Patakata Union,Barguna
6,Badarkhali Union,Barguna
7,Balli Union,Satkhira
8,Barguna Paurashava,Barguna
9,Barguna Sadar Union,Barguna
10,Betagi Paurashava,Barguna
11,Burir Char Union,Barguna
12,Dhalua Union,Barguna
13,Fuljhuri Union,Barguna
14,Gaurichanna Union,Barguna
15,Hosnabad Union,Barguna
16,Jalalpur Union,Satkhira
17,Jhaudanga Union,Satkhira
18,Kalaroa Paurashava,Satkhira
19,Keorabunia Union,Barguna
20,Khalishkhali Union,Satkhira
21,M.Baliatali Union,Barguna
22,Nagarghata Union,Satkhira
23,Naltona Union,Barguna
24,Patharghata Paurashava,Barguna
25,Shatkhira Municipality,Satkhira
