id,name,type
1,Akvo,iNGO
2,Simavi,iNGO
3,DORP,iNGO
4,HP,iNGO
5,Practical Action Bangladesh,iNGO
6,Uttaran,iNGO
7,SLOPB,iNGO
8,WaterAid Bangladesh,Government
9,Amtali Paurashava,Government
10,Ayla Patakata Union,Government
11,Barguna Paurashava,Government
12,Patharghata Paurashava,Government
13,Amtali Paurashava,Government
14,Betagi Paurashava,Government
15,Barguna Sadar Union,Government
16,Noltona Union,Government
17,Dhalua Union,Government
18,Fuljhuri Union,Government
19,Gaurichanna Union,Government
20,Badarkhali Union,Government
21,Burirchar Union,Government
22,M. Baliatali  Union,Government
23,Keorabunia Union,Government
24,Hosnabad Union,Government
25,Shatkhira Paurashava,Government
26,Kolaroa Paurashava,Government
27,Agardari  Union,Government
28,Balli Union,Government
29,Jhaudanga Union,Government
30,Jalalpur Union,Government
31,Khalishkhali Union,Government
32,Nagarghata Union,Government
