id,parent,name
4,Arsi Negele,Arsi Negele Town
5,Arsi Negele,Golije  Town
6,Shashemene Town,Shashemene Town
7,Shashemene,Kuyera Town
8,Arsi Negele,Muda Arja
9,Arsi Negele,Alge
10,Arsi Negele,Shala Bila
11,Arsi Negele,Balena Kilo
12,Arsi Negele,Dega Argemo
13,Arsi Negele,Dega Hora Kilo
14,Arsi Negele,Hadi Bossa
15,Arsi Negele,Kerero
16,Arsi Negele,Kelo Tulu
17,Arsi Negele,Sirba Lenda
18,Arsi Negele,Gerbi Arba
19,Arsi Negele,Gebta Arjo
20,Arsi Negele,Rafa Hrgesa
21,Arsi Negele,Ali Wayo
22,Arsi Negele,Edo Jagesa
23,Arsi Negele,Gerbo Derar
24,Arsi Negele,Meko Oda
25,Arsi Negele,Chri Elalu
26,Arsi Negele,Besko Elala
27,Arsi Negele,Lepeso
28,Arsi Negele,Gambelto
29,Arsi Negele,Sayo Menja
30,Arsi Negele,Kersa Meja
31,Arsi Negele,Kersa Gera
32,Arsi Negele,Kersa Elala
33,Arsi Negele,Terge Galo
34,Arsi Negele,Danshe
35,Arsi Negele,Adeba Tita
36,Arsi Negele,Bombaso Rja
37,Arsi Negele,Asheka
38,Arsi Negele,Aga
39,Arsi Negele,Gude Dura
40,Arsi Negele,Werro Awelo
41,Arsi Negele,Gunde Gurate
42,Arsi Negele,Wetera
43,Arsi Negele,Tufa
44,Arsi Negele,Amibagodasideni
45,Arsi Negele,Semiberorogicha
46,Arsi Negele,Dawe
47,Arsi Negele,Bukuwelida
48,Arsi Negele,Degaga
49,Arsi Negele,Arigedashalido
50,Arsi Negele,Shababulitumi
51,Shashemene,Chulule Habera
52,Shashemene,Kubi guta
53,Shashemene,Obenso Jilo
54,Shashemene,Jelo Dida
55,Shashemene,Faji Gole
56,Shashemene,Chefageta
57,Shashemene,Korerogicha
58,Shashemene,Fajigeba
59,Shashemene,Hagugeta Keni
60,Shashemene,Ilalal Korke
61,Shashemene,Wetera Shegule
62,Shashemene,Turre Wetera Elemo
63,Shashemene,kerara Felicha
64,Shashemene,Bute Felicha
65,Shashemene,Ale Luilu
66,Shashemene,Oine Chefo Unbule
67,Shashemene,Chebidi Dangata
68,Shashemene,Bura Borema
69,Shashemene,Tatesa Dedesa
70,Shashemene,Kori Borejeta
71,Shashemene,Daleti Guracha Bishen
72,Shashemene,Toga Weransa
73,Shashemene,Meja Dema
74,Shashemene,Bulchana Deneba
75,Shashemene,Sheleche Harlate
76,Shashemene,Shere Borara
77,Shashemene,Mudeta
78,Shashemene,Ido Laburka
79,Shashemene,Owa Shodongu
80,Shashemene,Jegesa Korke
81,Shashemene,Meraro
82,Shashemene,Faji Sole
83,Shashemene,Abaro
84,Shashemene,Jengele Wendere
85,Shashemene,Hursa Sinbo
86,Shashemene,Danisa
87,Shashemene,Gonde Kerso
88,Shashemene,Aredano Shifa
89,Shashemene,Ethiopia Adventist College
90,Shashemene,Toga Military Camp
91,Shashemene,Yeasa Den
92,Shashemene,Kure Beke Den
93,Shashemene,Hamele Den
94,Shashemene,Hansewe Den
95,Shashemene,Sole Den
96,Shashemene,Bejetu Den
97,Shashemene,Baro Den
98,Shashemene,Alamudin Gtosh Meret (Elfora)
99,Shashemene,Shalo Mrt Drjit
