Schema,Name,Type,Owner
public,access,table,wai
public,access_id_seq,sequence,wai
public,administration,table,wai
public,administration_id_seq,sequence,wai
public,alembic_version,table,wai
public,answer,table,wai
public,answer_id_seq,sequence,wai
public,answer_search,view,wai
public,data,table,wai
public,data_id_seq,sequence,wai
public,form,table,wai
public,form_id_seq,sequence,wai
public,history,table,wai
public,history_id_seq,sequence,wai
public,jobs,table,wai
public,jobs_id_seq,sequence,wai
public,log,table,wai
public,log_id_seq,sequence,wai
public,option,table,wai
public,option_id_seq,sequence,wai
public,organisation,table,wai
public,organisation_id_seq,sequence,wai
public,question,table,wai
public,question_group,table,wai
public,question_group_id_seq,sequence,wai
public,question_id_seq,sequence,wai
public,score_view,view,wai
public,user,table,wai
public,user_id_seq,sequence,wai
